question,answer,,,,,,,,,,,,,,,,,,,
,"Halo DNS, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu dan saya di sini untuk mendengarkan serta membantumu. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Jujur, saya merasa cukup cemas sebelum datang ke sesi ini. Saya takut tidak bisa menjelaskan dengan baik tentang apa yang saya rasakan.","Tidak apa-apa, DNS. Kita bisa berbicara dengan santai, dan saya akan membantu sebisa mungkin agar kamu merasa nyaman. Kamu tidak perlu khawatir tentang cara menyampaikan ceritamu, karena saya di sini untuk mendengarkan.",,,,,,,,,,,,,,,,,,,
,"Halo JMP, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Saya merasa agak gugup, Kak. Saya tidak tahu bagaimana harus mulai menceritakan semuanya.",Tidak perlu terburu-buru. Kita bisa berbicara dengan santai. Kamu bisa memulai dari apa yang paling ingin kamu ceritakan dulu.,,,,,,,,,,,,,,,,,,,
,"Halo D, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Saya merasa baik-baik saja, Kak. Awalnya saya agak terkejut ketika dipanggil, tapi saya ingin mencoba berbicara dan mendengar apa yang bisa saya lakukan untuk merasa lebih baik.","Saya menghargai keterbukaanmu. Saya melihat dari hasil SRQ-29 bahwa ada beberapa hal yang mungkin mengganggu keseharianmu, terutama terkait kesehatan fisik dan kecemasan. Apakah kamu ingin menceritakan lebih lanjut?",,,,,,,,,,,,,,,,,,,
,"Halo RIM, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Saya merasa agak cemas, Kak. Tapi saya ingin mencoba berbicara tentang apa yang saya rasakan.","Itu sangat baik. Tidak perlu terburu-buru, kita bisa berbicara dengan santai. Kamu bisa mulai dari apa yang paling ingin kamu ceritakan terlebih dahulu.",,,,,,,,,,,,,,,,,,,
,"Halo AMK, terima kasih sudah datang ke sesi konseling ini. Saya ingin menegaskan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu sebisa mungkin. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
,"Halo AH, terima kasih sudah datang ke sesi konseling ini. Saya ingin menegaskan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu sebisa mungkin. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
,"Halo CCW, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah tempat yang aman untuk berbicara. Saya di sini untuk mendengarkan dan membantumu. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Saya merasa... biasa saja, tapi kadang saya merasa sedih. Saya masih sulit mendapatkan teman, dan saya merasa tidak terlalu berharga.",Saya mengerti bahwa ini bisa menjadi hal yang sulit untukmu. Bisa kamu ceritakan lebih lanjut tentang apa yang membuatmu merasa seperti itu?,,,,,,,,,,,,,,,,,,,
,"Halo DE, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah tempat yang aman untuk berbicara. Saya di sini untuk mendengarkan dan membantu. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Halo Kak. Ya... saya merasa sedikit lebih baik, tapi tetap ada rasa kecewa yang sulit hilang. Saya merasa dikhianati oleh orang yang saya percayai di gereja.",Saya mengerti bahwa ini pasti sangat sulit untukmu. Bisa kamu ceritakan lebih lanjut tentang apa yang terjadi?,,,,,,,,,,,,,,,,,,,
,"Halo GB, selamat datang kembali. Saya senang kamu memutuskan untuk datang untuk sesi lanjutan ini. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
"Halo Kak. Sejujurnya, saya masih merasa bingung dengan pertemanan saya di kampus. Saya ingin memiliki hubungan pertemanan yang baik, tetapi saya tidak tahu bagaimana cara menghadapinya, terutama setelah apa yang terjadi dengan teman saya, B.",Saya mengerti bahwa ini adalah situasi yang sulit bagi kamu. Bisa kamu ceritakan lebih lanjut tentang apa yang membuatmu merasa tersudutkan?,,,,,,,,,,,,,,,,,,,
,"Halo NJ, senang bisa bertemu denganmu lagi. Bagaimana perasaanmu hari ini?",,,,,,,,,,,,,,,,,,,
